﻿назва,сектор,тип_бізнесу,зона,телефон,вебсайт,рейтинг,кількість_відгуків,має_сайт,має_чатбота,має_інстаграм,має_фейсбук,цифровий_стан,рівень_послуги,ціна,рекомендований_продукт,основні_потреби
The Cavern Bar (New owners 2023),Готельно-ресторанний бізнес,Ресторан,Інша,654 04 75 95,,4.1,517,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Restaurante Chilli Pepper,Готельно-ресторанний бізнес,Китайський ресторан,Інша,965 52 85 58,,4.5,334,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
The Lime Bar,Готельно-ресторанний бізнес,Спортивний бар,Інша,,https://www.facebook.com/limebarspain/,4.5,556,No,No,No,Sí,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота
Fig and Olive Restaurant,Готельно-ресторанний бізнес,Середземноморський ресторан,Playa Flamenca,651 78 82 90,,4.7,313,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Pure Lunchbar.,Готельно-ресторанний бізнес,Ресторан,Dehesa de Campoamor,696 28 61 45,,4.6,475,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
LA TRATTORIA MARE E MONTI DA MARIO,Готельно-ресторанний бізнес,Італійський ресторан,Інша,965 31 90 90,,4.3,415,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Royal Oak pub,Готельно-ресторанний бізнес,Сімейний ресторан,Dehesa de Campoamor,687 10 68 71,https://www.facebook.com/theroyaloakspain,4.2,778,No,No,No,Sí,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Залежність від телефону
Tipsy Toad,Готельно-ресторанний бізнес,Паб,Інша,865 75 51 97,,4.6,189,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Costa Rock Café,Готельно-ресторанний бізнес,Ресторан,Інша,679 12 51 23,,4.4,179,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Algo HLTHâ  ·  Coffee & Snacks Orihuela Costa,Готельно-ресторанний бізнес,Ресторан сніданків,Інша,623 62 51 81,,4.5,46,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
The Ivy Bar,Готельно-ресторанний бізнес,Бар,Інша,711 06 19 71,https://m.facebook.com/theivybarcirtuscenter/,4.5,179,No,No,No,Sí,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає чатбота  ·  Залежність від телефону
Mesón El Prado,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Немає активності в соціальних мережах
Origin Restaurante La Zenia,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Цифрова присутність відсутня
Restaurante Asturias,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту
Restaurante Cala Capitán,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Цифрова присутність відсутня
Restaurante Doña Isabel,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,"Немає власного сайту  ·  Немає активності в соціальних мережах, виявленої  ·  Популярне меню дня, але невидиме онлайн для міжнародних туристів"
Restaurante La Braseria,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту
Restaurante Manuela,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Тільки Instagram без власного сайту
Rianxeira Restaurant,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Цифрова присутність відсутня
Surfers Bar & Grill,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту
The Long Horn,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Цифрове меню + Google Business,Немає власного сайту  ·  Тільки в TripAdvisor та особистому Facebook власника  ·  Туристична зона з міжнародною клієнтурою без вебсайту чи контенту
Bar Restaurante Manolo,Готельно-ресторанний бізнес,Ресторан,Інша,965 30 20 93,https://barrestaurantemanolo.shop/,4.4,1494,Sí,No,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,WhatsApp бот + цифрове меню,Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Bar Tono Tornado,Готельно-ресторанний бізнес,Тапас-бар,Інша,676 47 95 25,https://www.imprimobarato.es/cartamovil/index1.php?ges=mu7Xx5hV&mesa=1&gt=1#googtrans(es),4.4,776,Sí,No,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,WhatsApp бот + цифрове меню,Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Rogue Kitchen,Готельно-ресторанний бізнес,Середземноморський ресторан,Інша,603 28 68 29,http://www.roguekitchen.es/,4.7,224,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,WhatsApp бот + цифрове меню,Немає соціальних мереж
DARBY'S,Готельно-ресторанний бізнес,Ресторан,Інша,711 02 53 55,https://darbysplayaflamenca.com/,4.5,491,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,WhatsApp бот + цифрове меню,Немає соціальних мереж
Cafetería Concierto,Готельно-ресторанний бізнес,Ресторан,,,https://cafeteria-concierto.business.site,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
El Italiano de Campoamor,Готельно-ресторанний бізнес,Ресторан,Campoamor,+34 680 971 962,https://www.elitalianodecampoamor.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)  ·  Немає контенту для англомовних туристів в Dehesa de Campoamor
La Bahía Cabo Roig,Готельно-ресторанний бізнес,Ресторан,Cabo Roig,,https://bahiacaboroig.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)  ·  Меню лише іспанською (/es-carta/)  ·  Instagram та Facebook не виявлено  ·  Ресторан на першій лінії
La Galería de la Mirada,Готельно-ресторанний бізнес,Ресторан,Orihuela,+34 966 740 473,https://lagaleriadelamirada.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Немає активності в соціальних мережах, виявленої  ·  Вебсайт існує, але без активних Instagram/Facebook  ·  Ресторан Sol Repsol з потенціалом преміум розгублює"
Marinasol Restaurant,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає власного сайту  · Немає англійської версії (туристична зона)
Restaurante Caboroig,Готельно-ресторанний бізнес,Ресторан,Cabo Roig,966 760 290,http://restaurantecaboroig.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає активності в соціальних мережах  ·  Вебсайт без англійської версії (туристична зона)
Restaurante La Bahía de Cabo Roig,Готельно-ресторанний бізнес,Ресторан,,,https://bahiacaboroig.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)  ·  Немає контенту англійською для іноземних туристів в Cabo Roig
Restaurante Monte Mar,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає власного сайту  ·  Вебсайт без англійської версії (туристична зона)
Restaurante Montepiedra Playa,Готельно-ресторанний бізнес,Ресторан,Playa Flamenca,,http://www.restaurantemontepiedraplaya.es/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
STORI Restaurant,Готельно-ресторанний бізнес,Ресторан,,,,,,No,,,,Низька,🟡 Автоматизація + захоплення,150-250€,WhatsApp бот + цифрове меню,Немає власного сайту  ·  Відгуки в інтернеті без відповідей
Zenia's Sun,Готельно-ресторанний бізнес,Ресторан,,,https://zeniassun.negocio.site,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Murphy's Irish Pub Orihuela Costa,Готельно-ресторанний бізнес,Ірландський паб,La Zenia,966 77 35 66,http://sunrisegrupo.com/murphys,4.0,1719,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Немає чатбота  ·  Залежність від телефону
Restaurante An Sibin,Готельно-ресторанний бізнес,Ресторан,Інша,965 07 78 22,https://linktr.ee/holly301207,4.5,805,No,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Немає власного сайту
Bar Kulturas,Готельно-ресторанний бізнес,Ресторан,Інша,722 82 70 88,http://kulturasbar.com/,4.3,690,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Немає чатбота  ·  Залежність від телефону
Restaurante Joaquín,Готельно-ресторанний бізнес,Ресторан,Інша,966 74 34 15,https://restaurantejoaquin.es/,4.4,921,Sí,No,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Немає чатбота  ·  Залежність від телефону
Veroka The Fushion Gourmet,Готельно-ресторанний бізнес,Ресторан,Інша,621 29 87 31,http://www.verokathefushiongourmet.com/,4.6,2042,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Restaurante Punta Prima,Готельно-ресторанний бізнес,Середземноморський ресторан,Інша,965 32 81 06,https://www.restaurantepuntaprima.com/,4.3,5261,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Rocky's Arena,Готельно-ресторанний бізнес,Паб-ресторан,Інша,607 36 25 69,http://www.rockysarena.com/,4.1,4127,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Pub O¬¥RIORDANS,Готельно-ресторанний бізнес,Ірландський паб,Dehesa de Campoamor,603 34 96 71,http://www.officialirishpub.es/,4.5,1059,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
The Agus Orihuela - Restaurante en Orihuela,Готельно-ресторанний бізнес,Ресторан,Інша,965 30 61 95,https://agusorihuela.com/,4.5,1464,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
The Stray Sod Irish Bar,Готельно-ресторанний бізнес,Ірландський паб,Dehesa de Campoamor,685 64 32 11,https://www.thestraysodcostablanca.com/,4.3,1974,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Zenia Lounge - Restaurante en Orihuela,Готельно-ресторанний бізнес,Паб-ресторан,Інша,615 79 31 98,https://zenia-lounge.com/,4.4,1038,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Arroceria el Sarmiento,Готельно-ресторанний бізнес,Ресторан,Інша,617 26 39 22,http://www.arroceriaelsarmiento.es/,4.2,1674,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Bar-Restaurante Casablanca,Готельно-ресторанний бізнес,Ресторан,Інша,965 30 10 29,https://www.barcasablanca.es/,4.2,708,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Milk & Honey Bar Bistro,Готельно-ресторанний бізнес,Таверна,Інша,604 40 06 95,https://milkhoney.es/,4.5,372,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Punto Amor by Loucas Mengal,Готельно-ресторанний бізнес,Ресторан високої французької кухні,Інша,604 47 85 04,https://www.puntoamor.com/,4.8,197,Sí,Sí,Sí,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
BAR. Restaurante. Mágica,Готельно-ресторанний бізнес,Ресторан,Інша,602 11 40 92,https://restaurantemagica.com/,4.7,27,Sí,Sí,No,Sí,Середня,🟠 CRM + Штучний інтелект,250-500€,CRM бронювань + панель керування,Вже має базову присутність
Physical Therapy Clinic Villamartin,Медицина та здоров'я,Клініка,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + онлайн запис,Немає власного сайту  ·  Немає активності в соціальних мережах  ·  Немає інформації про послуги англійською для міжнародних туристів
SkinIQ Med,Медицина та здоров'я,Клініка,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + онлайн запис,Цифрова присутність відсутня
Artedent Orihuela,Медицина та здоров'я,Клініка,Orihuela,966 739 044,https://artedentorihuela.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії  ·  Немає Instagram  ·  Немає контенту для іноземних пацієнтів (туристична зона)
Centro Médico Punta Prima Dr. Schuerman,Медицина та здоров'я,Клініка,,,http://doctororihuelacosta.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає активності в соціальних мережах + Вебсайт застарілий без навчального контенту для міжнародних пацієнтів
Centro Médico Virgen de la Caridad Campoamor,Медицина та здоров'я,Клініка,Campoamor,,https://cmvcaridad.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії  ·  Немає активності в соціальних мережах  ·  Немає інформації про послуги англійською для іноземних пацієнтів
Clínica Cabo Roig (Médica),Медицина та здоров'я,Клініка,,,https://clinicacaboroig.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Вебсайт без англійської версії  ·  Немає Instagram  ·  Немає інформації про послуги англійською для туристів, що говорять англійською, на узбережжі"
Clínica Dental Gilabert,Медицина та здоров'я,Клініка,Orihuela Costa,,https://clinicagilabert.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Clínica Doctora Ceballos,Медицина та здоров'я,Клініка,,,https://clinicadoctoraceballos.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Clínica Escudero Osteopatía y Fisioterapia,Медицина та здоров'я,Клініка,,,https://clinicaescudero.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Clínica Fiseum,Медицина та здоров'я,Клініка,,,https://clinicafiseum.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії + Немає інформації про послуги англійською для пацієнтів-експатів
Clínica Vitaelia,Медицина та здоров'я,Клініка,,,https://clinicavitaelia.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії для експатів у Orihuela Costa
Fisiocen Orihuela,Медицина та здоров'я,Клініка,Orihuela,,https://fisiocenorihuela.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Fisioterapia en La Zenia,Медицина та здоров'я,Клініка,,,https://www.fisioterapiaenlazenia.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона для експатів) + Немає активності в соціальних мережах
La Zenia Mind Hub,Медицина та здоров'я,Клініка,,,https://lazeniamindhub.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона) — центр психології та психоемоційної терапії в La Zenia з вебсайтом лише іспанською та без активних соціальних мереж
One Clinic Orihuela,Медицина та здоров'я,Клініка,,,https://oneclinicsar.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії — багатопрофільна клініка без контенту для англомовних пацієнтів на узбережжі
Orioldent,Медицина та здоров'я,Клініка,,,https://orioldent.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Вебсайт без англійської версії (туристична зона)
Physiotherapy & Osteopathy Clinic Orihuela Costa,Медицина та здоров'я,Клініка,,,https://www.physiosteopath.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,Немає активності в соціальних мережах (Instagram/Facebook не виявлено)  ·  Немає маркетингу послуг у соціальних мережах  ·  Потенційні міжнародні пацієнти не
Sanydent Villamartin,Медицина та здоров'я,Клініка,Villamartin,,https://sanydent.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Онлайн запис + багатомовність,Немає активності в соціальних мережах
Viapark Dental,Медицина та здоров'я,Клініка,,,https://viaparkdental.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Онлайн запис + багатомовність,Немає активності в соціальних мережах
Óptica Fischer,Медицина та здоров'я,Клініка,,,https://opticafischer.com/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,
Maison Costa Blanca,Нерухомість,Рієлторська агенція,Інша,966 76 40 17,,4.8,141,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
10 Soles Inmobiliaria,Нерухомість,Рієлторська агенція,Інша,661 74 84 10,,4.5,121,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Barceló Real Estate,Нерухомість,Рієлторська агенція,Інша,966 36 74 14,,0.0,0,No,No,No,No,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Grupo Inmobiliario Orihuela Costa SL,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту
Properties Orihuela Costa Real Estate,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає гідів покупок для іноземців
Spanish Costa Homes,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту — лише присутність у Facebook. Агенція Оріуела-Коста невидима в пошукових системах для міжнародних покупців.
Store Torrevieja - Orihuela Costa,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає контенту для міжнародних покупців
SunKey Spain Real State,Нерухомість,Рієлторська агенція,,,,,,No,,,,Відсутня,🟢 Базова присутність,100-150€,Лендінг + збір лідів,Немає власного сайту  ·  Немає контенту для міжнародних покупців
Inmosureste Orihuela,Нерухомість,Рієлторська агенція,Інша,965 30 61 28,http://www.inmosureste.es/,4.0,71,Sí,No,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає чатбота  ·  Немає соціальних мереж  ·  Залежність від телефону
Rosa Mediterranean Houses,Нерухомість,Рієлторська агенція,La Florida,965 32 80 74,https://www.rosamh.com/es,4.6,204,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає соціальних мереж
Mevilla Real Estate,Нерухомість,Рієлторські агенти,Cabo Roig,606 04 62 75,http://www.mevilla.com/,4.8,92,Sí,Sí,No,No,Низька,🟡 Автоматизація + захоплення,150-250€,Збір лідів + Instagram,Немає соціальних мереж
123 immo Orihuela Costa,Нерухомість,Рієлторська агенція,,,https://123immo.es/en/,,,Sí,,,,Низька,🟡 Автоматизація + захоплення,150-250€,Переклад на кілька мов,"Немає контенту для міжнародних покупців — вебсайт мультигломовний та активний Facebook, але без Instagram в туристичній зоні, де покупець міжнародний"
